,VIN,Market_Value_Mean,Market_Value_Std,Count
295,WDDZH8KB8LA753874,139286.71,13967,22
296,SALJY1249TA197728,11116.7,4293,3
297,WBAEP33475PE92199,6998.85,1579,4
298,SCFAD02A36GB04971,50923.48,8712,43
299,ZFFYU51A9Y0121165,90194.93,12913,24
300,1FATP8JZ0H5524015,79342.23,16230,58
301,WBSNB9C59AC043191,32757.63,5847,11
302,JT2MA67L8C0013495,18275.7,2880,3
303,WDBUF76J36A865992,16675.94,4373,13
304,WDDUG8CB8EA050418,40906.76,5365,746
305,WDBDA34D1GF229290,32247.55,10256,2
306,WBAWB73538P042344,11906.29,2773,644
307,JN1AR5EF8GM290398,98088.8,14029,108
308,WP0AA2A83EK170494,47068.79,5656,274
309,2G2FV22GX22164251,21577.77,5062,74
310,WDBLK74G52T099986,10904.89,3429,18
311,SALE27RU7N2070968,84519.38,11705,597
312,WP1AB2A59GLB59000,40664.07,5121,1021
313,ZARED33R6R6288774,13000.0,0,1
314,1FDXE45P15HA15107,17895.31,6099,43
315,WA1AWBF73MD037510,96154.67,10414,131
316,SAJWJ6BV8H8K37997,54855.74,5822,136
317,2FALP74W3SX144488,4586.44,1005,9
318,YV4612HM7G1007295,23208.6,3776,50
319,WDBBA48D2KA095189,31578.95,10200,103
320,SAJWA6ET7H8K36351,43747.63,4448,286
321,1G6DC8EG8A0117858,10740.24,2104,12
322,WP0AB2A80HS285832,72396.89,6060,202
323,JTJHY7AX6A4048318,30228.39,4135,127
324,2J4FY29T7KJ135585,10997.6,2942,4
325,5TFHY5F10EX387107,32598.29,4784,922
326,1G1YN2DT9B5800508,86825.63,13899,51
327,WF0DP3TH9H4119294,37789.68,4115,898
328,WP0CA29811U627041,14688.28,3235,183
329,JM1BK34L191241212,9674.6,2116,48
330,SALGS2PF7GA303160,49650.73,6471,993
331,WAUXL68E65A034709,12022.93,4286,9
332,WBSDE93403CF93461,37973.51,12339,20
333,JHMBB62401C010077,7807.6,1776,13
334,JTLKT324050179699,5001.16,1216,115
335,WP1AF2A55GLB93231,49683.62,7055,218
336,1FTJW36F0VEB32041,13437.83,4205,117
337,WAUGU44DX2N001019,18992.5,7067,2
338,5TFUY5F19DX295832,24946.35,4757,2615
339,WBSCM9342YLC61902,45812.77,14064,19
340,WP1AB29P38LA36543,12745.34,2500,159
341,WDBGA32G0VA334441,5377.71,1171,5
342,1FA6P8JZ1G5524651,56940.01,7008,605
343,JTEHT05J672111075,24326.39,5494,38
344,WBAAF9310MEE73305,18220.21,2412,4
345,WP1AD2AP1ALA62117,21366.29,4043,54
346,WDAFE7CD7HP500830,80212.64,25083,5
347,WBSDE93492BZ99871,47409.04,15318,27
348,WDCYC5FH5JX290078,259630.36,27903,32
349,WBANN73586CN03447,7379.7,1654,56
350,JM1BL1K45B1487442,12618.92,2578,107
351,5GRGN23U45H102208,20826.4,4575,555
352,WAUGE08B5LA003073,13500.0,9192,2
353,JTJHT00W764013325,22362.72,5155,141
354,SCBZB03D0PCX42104,45646.64,16714,5
355,2HGFG4A58DH706451,16226.57,2755,1073
356,1G1YY26EX75115737,44123.42,6579,282
357,WP0AC2A8XLK289151,141948.18,11680,187
358,5UXFA535X3LH80816,5402.97,1379,110
359,WBAVS13568FX16601,11308.46,2839,15
360,WMWZC5C59CWM14329,12818.58,2521,927
361,WDDUG7GB4FA135472,67672.04,11042,38
362,SALTY16453A824394,10465.2,3269,59
363,WBSWL93528P330697,29225.34,5695,356
364,8BTPE7CD8GE121999,44468.87,8672,282
365,WBAAA1319LEC66829,15114.68,5557,6
366,JT2ST07N5R0013611,4913.03,1009,3
367,57XAASFA9F5103398,18919.83,1628,13
368,WDBFA76F9WF159938,16950.33,4655,8
369,1G2FS33E7NL206097,12615.08,2787,4
370,WDDLJ7EB3CA035570,37837.69,5867,149
371,WDBUH77X87B106649,43989.32,13016,4
372,WAUKA84A1SN121789,14900.0,0,2
373,JHMBB6246YC007727,8031.57,2365,14
374,JTKDE167560086615,5402.92,1302,364
375,1G6KW5RJ6LU106338,90263.32,7386,56
376,3D3HA18H35G771661,30440.06,6819,175
377,1FA6P8CF7H5244463,34884.31,4194,4834
378,JT3HT05J6X0070905,13002.52,3249,62
379,5UXFA53502LH80614,4983.63,1237,80
