,VIN,Num_Days,Market_Value_Mean,Market_Value_Std,Count,Count_Over_Days
229,SALMF1E42AA324007,165,16980.42,3794,90,0.5454545454545454
230,WBAPT73599CX02428,404,10841.32,2609,22,0.054455445544554455
231,WDDEJ77X49A020621,271,30846.76,5835,33,0.12177121771217712
232,YV1RH527252463660,374,8037.48,2434,18,0.0481283422459893
233,2G2FV32G9X2218104,377,8629.42,2273,26,0.06896551724137931
234,JT8BH28F1X0141478,720,6779.86,1887,37,0.05138888888888889
235,JM1NB3538X0112933,90,9294.29,2381,184,2.0444444444444443
236,1FA6P8JZ5G5521400,193,56940.01,7008,605,3.134715025906736
237,WDBWK54F36F128897,403,12377.08,2586,162,0.40198511166253104
238,JM1NB3533X0123127,763,9294.29,2381,184,0.24115334207077327
239,WP0AA2A74GL001265,473,51644.96,6638,396,0.8372093023255814
240,5TFGZ5AN2HX075412,190,37409.99,3525,793,4.173684210526316
241,WP0CH2A73JL198781,271,145494.61,15053,55,0.2029520295202952
242,SALME11415A180500,514,8405.18,2150,48,0.0933852140077821
243,WBSDE93411BZ99121,531,32576.16,6726,16,0.030131826741996232
244,JHMAP21485S007740,657,28972.72,5903,147,0.2237442922374429
245,5YJSA1CN0DFP18626,578,35221.57,4249,214,0.370242214532872
246,WBANB335X4B088071,630,7732.48,1865,60,0.09523809523809523
247,2MEHM75W74X687254,314,5938.54,1456,170,0.5414012738853503
248,3FADP4GX9HM141008,416,19591.45,2404,467,1.1225961538461537
249,WDDUG8FB5FA071384,397,47341.59,8451,1735,4.370277078085643
250,WBA13BK05MCG06127,180,82334.25,7475,166,0.9222222222222223
251,WAUDGAFL3CA085609,424,21425.99,4894,32,0.07547169811320754
252,JF1ZNAA18D1713059,663,17245.84,3007,1796,2.708898944193062
253,WF0DP3TH8G4115591,91,35820.8,4091,443,4.868131868131868
254,SCFEKBAK4DGC17340,145,74867.78,7650,17,0.11724137931034483
255,WP0BA2Y13MSA71267,90,116128.41,10734,55,0.6111111111111112
256,JTJHT00W353554604,290,17898.68,4512,77,0.2655172413793103
257,1J4GZ58S3RC262771,132,3372.29,848,16,0.12121212121212122
258,JT3HT05J7Y0120793,472,13966.66,3285,109,0.2309322033898305
259,1GTHK39F3RE504516,389,7192.0,1784,4,0.010282776349614395
260,JHMAP11421T008736,613,27254.86,6312,127,0.20717781402936378
261,JT3HT05J4X0055271,542,13002.52,3249,62,0.11439114391143912
262,WDDKJ7DB2GF329130,517,35079.17,5593,35,0.06769825918762089
263,1J4FY19P7SP247951,228,8617.28,2157,97,0.42543859649122806
264,3VW4T7AU1GM061574,297,22001.93,3115,1589,5.35016835016835
265,JTJHT00W613511790,193,14130.58,3573,64,0.3316062176165803
266,2C3CDYBT5EH247089,266,24869.69,4160,1526,5.7368421052631575
267,JM1FE173070212148,262,8578.39,2394,41,0.15648854961832062
268,JA3AW75K3SY830125,91,39836.28,7169,4,0.04395604395604396
269,1FALP54Y7SA160238,529,6060.9,1898,4,0.007561436672967864
270,JTJHT00W664003594,307,22362.72,5155,141,0.4592833876221498
271,WBAEV53455KM42610,363,6459.05,1353,21,0.05785123966942149
272,1MHBP79M9FF612191,228,13795.0,0,1,0.0043859649122807015
273,WP0AA2998TS321520,446,106801.67,29459,38,0.08520179372197309
274,1ZVHT82H185144406,458,16312.07,3844,947,2.067685589519651
275,6G2VX12U56L553488,733,20029.07,4319,199,0.27148703956343795
276,JT4RN01P1K7009014,143,12068.97,2970,23,0.16083916083916083
277,JTHBN36F265047516,116,12247.21,2583,224,1.9310344827586208
278,1G8EK18H3CF152835,468,19950.08,2144,4,0.008547008547008548
279,WVWWA7AU9KW148553,90,43107.9,2970,890,9.88888888888889
280,1GC2GUBG5A1135377,90,18744.7,5272,14,0.15555555555555556
281,JN1HZ04S9CX449227,150,22098.93,6430,14,0.09333333333333334
282,1FAHP56S24G180380,420,3853.29,915,32,0.0761904761904762
283,1G1Y72D43L5109544,290,101455.44,9802,686,2.3655172413793104
284,4JGAB74E2YA168995,734,7103.16,1391,9,0.01226158038147139
285,WUARU78E67N900132,139,34986.2,6891,21,0.1510791366906475
286,1FADP3L98GL254921,223,20402.98,3037,1123,5.0358744394618835
287,1FT8W4DT2GEC98092,90,61921.87,10650,160,1.7777777777777777
288,2MEFM74V38X644164,301,7914.83,1943,81,0.2691029900332226
